stat_id,category,metric_name,value,value_min,value_max,unit,bank_name,fiscal_year,operational_domain,sample_size,figure_ref,organization,report_title,url
25,benefit,Annual global bank technology spend,600.0,,,billion_usd,,2025,technology,,,McKinsey & Company,Global Banking Annual Review 2025,https://www.mckinsey.com/industries/financial-services/our-insights/global-banking-annual-review
26,benefit,Credit analyst productivity gain (lower bound),,20.0,60.0,percent,,2024,lending,,Figure 2,McKinsey & Company,Extracting value from AI in banking,https://www.mckinsey.com/industries/financial-services/our-insights/extracting-value-from-ai-in-banking-rewiring-the-enterprise
27,bank_metric,Trade transactions done digitally,71.0,,,percent,ICICI Bank,FY2023-24,trade_finance,,Figure 1,ICICI Bank Limited,Performance Review Q4 FY2024,https://www.icici.bank.in/about-us/news-room/2024/performance-review-quarter-ended-march-31-2024
28,bank_metric,Acquisitions digitally driven (minimum disclosed),75.0,,,percent,HDFC Bank,FY2023-24,onboarding,,Figure 1,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
29,bank_metric,Acquisitions digitally driven (minimum disclosed),75.0,,,percent,HDFC Bank,FY2023-24,onboarding,,Figure 5,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
30,bank_metric,WhatsApp chat banking interactions per month,90.0,,,lakh_per_month,HDFC Bank,FY2023-24,customer_service,,Figure 5,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
31,bank_metric,PayZapp registered customers,75.0,,,lakh,HDFC Bank,FY2023-24,payments,,Figure 5,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
32,bank_metric,SmartHub Vyapar merchants,16.0,,,lakh,HDFC Bank,FY2023-24,merchant,,Figure 5,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
33,bank_metric,Live digital acquisition journeys,30.0,,,count,HDFC Bank,FY2023-24,onboarding,,Figure 5,HDFC Bank Limited,Integrated Annual Report FY2023-24,https://www.hdfcbank.com/personal/about-us/investor-relations/annual-reports
34,bank_metric,Trade transactions done digitally,71.0,,,percent,ICICI Bank,FY2023-24,trade_finance,,Figure 5,ICICI Bank Limited,Performance Review Q4 FY2024,https://www.icici.bank.in/about-us/news-room/2024/performance-review-quarter-ended-march-31-2024
35,bank_metric,Trade Online platform volume growth YoY,29.2,,,percent,ICICI Bank,FY2023-24,trade_finance,,Figure 5,ICICI Bank Limited,Performance Review Q4 FY2024,https://www.icici.bank.in/about-us/news-room/2024/performance-review-quarter-ended-march-31-2024
36,bank_metric,Video KYC products live,22.0,,,count,ICICI Bank,FY2023-24,kyc,,Figure 5,ICICI Bank Limited,Integrated Report FY2023-24,https://www.icicibank.com/about-us/annual-reports
